Pořadové číslo;Politický subjekt;Datum publikování;Datum sběru;Odkaz na zdroj;Typ vizualizace;Manipulace osou;;;Porušení konvence;;Chybějící prvky;;;;Přebývající a zmatečné prvky;;
;;;;;;Podseknutá osa;Dvojitá osa;Převrácená osa;Nevhodné řazení;Nevhodné barvy;Chybějící osa či její popis;Neuvedení zdroje;Chybějící název (téma);Absence legendy;3D efekt;Nevhodná vizualizace;Zmatečná vizualizace
74;ODS;12.11.2018;23.02.2023;https://www.facebook.com/ods.cz/photos/10156890663257700 ;Koláčový;X;X;X;N;N;X;N;N;N;N;N;N
75;ODS;07.11.2018;23.02.2023;https://www.facebook.com/ods.cz/photos/10156885929482700 ;Sloupcový;Y;N;N;N;N;N;N;N;N;N;N;N
76;ODS;05.11.2018;23.02.2023;https://www.facebook.com/ods.cz/photos/10156881454067700 ;Sloupcový;Y;N;N;N;N;Y;N;Y;N;N;N;N
77;ODS;02.11.2018;23.02.2023;https://www.facebook.com/ods.cz/photos/10156874314452700 ;Sloupcový;N;N;N;N;N;N;Y;N;N;N;N;N
78;ODS;04.11.2018;23.02.2023;https://www.facebook.com/ods.cz/photos/10156874080132700;Sloupcový;N;N;N;N;N;N;N;N;N;N;N;N
79;ODS;01.11.2018;23.02.2023;https://www.facebook.com/ods.cz/photos/10156871913672700 ;Liniový;N;N;Y;N;N;N;N;N;N;N;Y;N
80;ODS;22.10.2018;23.02.2023;https://www.facebook.com/ods.cz/photos/10156847008712700 ;Sloupcový;N;N;N;N;N;Y;N;N;N;N;N;N
81;ODS;11.06.2018;23.02.2023;https://www.facebook.com/ods.cz/photos/10156508361482700 ;Sloupcový;Y;N;N;N;N;Y;N;Y;N;N;N;N
82;ODS;22.05.2018;23.02.2023;https://www.facebook.com/ods.cz/photos/10156459086902700 ;Sloupcový;N;N;N;N;N;N;N;N;N;N;N;N
83;ODS;06.05.2018;23.02.2023;https://www.facebook.com/ods.cz/photos/10156420322682700 ;Sloupcový;N;N;N;N;N;Y;Y;N;N;N;N;N
84;ODS;10.04.2018;23.02.2023;https://www.facebook.com/ods.cz/photos/10156356837302700 ;Sloupcový;Y;N;N;N;N;Y;N;Y;N;N;N;N
85;ODS;08.04.2018;23.02.2023;https://www.facebook.com/ods.cz/photos/10156351325992700 ;Sloupcový;N;N;N;N;N;Y;Y;N;N;N;N;N
86;ODS;04.03.2018;23.02.2023;https://www.facebook.com/ods.cz/photos/10156248478437700 ;Sloupcový;N;N;N;N;N;Y;N;N;N;N;N;N
87;ODS;22.12.2017;23.02.2023;https://www.facebook.com/ods.cz/photos/10156040121162700 ;Sloupcový;Y;N;N;N;N;Y;N;N;N;N;N;N
88;ODS;14.12.2017;23.02.2023;https://www.facebook.com/ods.cz/photos/10156024044742700 ;Sloupcový;Y;N;N;N;N;Y;N;N;N;N;N;N
89;ODS;20.11.2017;23.02.2023;https://www.facebook.com/ods.cz/photos/10155953430077700 ;Koláčový;X;X;X;Y;N;X;N;N;N;N;N;N
